"1","0","FP virtual - Aragón","FP virtual - Aragón","1"
        "2","Top/General","ayuda","Curso de ayuda","1"
        "3","Top/General","profesorado","Curso de Sala de profesorado","1"
        "4","Top/General","coordinacion","Curso de Sala de coordinación","1"
        "5","Top/NO BORRAR - APP MOVIL","marketplaces","Curso de verificación marketplaces NO BORRAR","1"
        "6","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-639t","Coordinación - Tutoría","1"
        "7","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5364","Comunicación empresarial y atención al cliente","1"
        "8","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5373","Formación y orientación laboral","1"
        "9","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5365","Operaciones administrativas de compra","1"
        "10","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5368","Técnica contable","1"
        "11","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5367","Tratamiento informático de la información","1"
        "12","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5119","Empresa en el aula","1"
        "13","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5114","Empresa y Administración (LOE)","1"
        "14","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5122","Formación en centros de trabajo","1"
        "15","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5111","Inglés  Global","1"
        "16","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5117","Operaciones administrativas de recursos humanos","1"
        "17","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5120","Operaciones auxiliares de gestión de tesorería","1"
        "18","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-5118","Tratamiento de la documentación contable","1"
        "19","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-639t","Coordinación - Tutoría","1"
        "20","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5364","Comunicación empresarial y atención al cliente","1"
        "21","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5373","Formación y orientación laboral","1"
        "22","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5365","Operaciones administrativas de compra","1"
        "23","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5368","Técnica contable","1"
        "24","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5367","Tratamiento informático de la información","1"
        "25","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5119","Empresa en el aula","1"
        "26","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5114","Empresa y Administración (LOE)","1"
        "27","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5122","Formación en centros de trabajo","1"
        "28","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5111","Inglés  Global","1"
        "29","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5117","Operaciones administrativas de recursos humanos","1"
        "30","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5120","Operaciones auxiliares de gestión de tesorería","1"
        "31","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-5118","Tratamiento de la documentación contable","1"
        "32","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-639t","Coordinación - Tutoría","1"
        "33","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-5364","Comunicación empresarial y atención al cliente","1"
        "34","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-5373","Formación y orientación laboral","1"
        "35","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-5365","Operaciones administrativas de compra","1"
        "36","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-5368","Técnica contable","1"
        "37","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-5367","Tratamiento informático de la información","1"
        "38","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-5119","Empresa en el aula","1"
        "39","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-5114","Empresa y Administración (LOE)","1"
        "40","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-5122","Formación en centros de trabajo","1"
